date,title,description
2001-09-11,9/11 Attacks,Coordinated terrorist attacks in the USA.
2008-09-15,Lehman Brothers Collapse,Start of the global financial crisis.
2020-03-11,COVID-19 Declared Pandemic,WHO declares COVID-19 a global pandemic.
1989-11-09,Fall of Berlin Wall,"The Berlin Wall falls, symbolizing the end of the Cold War."
1997-07-01,Handover of Hong Kong,UK hands over Hong Kong to China.
2016-07-15,Coup Attempt in Turkey,Failed military coup attempt in Turkey.
2011-03-11,Fukushima Disaster,Earthquake and tsunami trigger nuclear disaster in Japan.
2010-12-17,Arab Spring Begins,Tunisian street vendor's self-immolation sparks Arab Spring.
1991-12-26,Dissolution of USSR,The Soviet Union officially ceases to exist.
2004-12-26,Indian Ocean Tsunami,"Massive tsunami kills over 230,000 people in 14 countries."
